 25W12-SB_1216WYHQ1400_cad        Tebo-ICT,  license #WIWYNN

 Test Fixture Nails     480/480  Selected Drills           16-December-2025 18:17
                        480 Nails,  1829 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$80       2.5970    1.8794   1  AA   (T)  #1196 CPU_SVTI         T PIN TB_TP176.1
$81       2.9300    1.7935   3  AA   (T)  #1152 PVDDCR_SOC_SVTO_R T PIN TB_TP185.1
$82       2.9774    1.7859   3  AA   (T)  #1151 PVDDCR_SOC_SVC_R T PIN TB_TP187.1
$83       3.0174    1.7564   3  AA   (T)  #1150 PVDDCR_SOC_SVD_R T PIN TB_TP186.1
$84       3.0492    1.7925   3  AA   (T)  #1149 PVDDCR_PVDDCRSOC_PG2_R T PIN TB_TP151.1
$85       3.1110    1.8870   2  AA   (T)  #779  CPU_PWROK        T PIN TB_TP132.1
$86       3.1530    1.9990   1  AA   (T)  #1176 SMB_CPU_MUX_P1V8_SDA T PIN TB_TP137.1
$87       3.2590    2.0110   2  AA   (T)  #1177 SMB_CPU_MUX_P1V8_SCL T PIN TB_TP138.1
$88       3.2850    1.9550   3  AA   (T)  #855  PWRGD_PVDDCR_SOC T PIN TB_TP184.1
$89       3.2247    1.9096   3  AA   (T)  #851  FM_PVDDCR_EN     T PIN TB_TP163.1
$90       3.1790    1.8950   3  AA   (T)  #1148 PVDDCR_PVDDCRSOC_PWROK_R T PIN TB_TP150.1
$91       3.1905    1.7385   3  AA   (T)  #1146 PVDDCR_PVDDCRSOC_PG1_R T PIN TB_TP152.1
$92       3.2260    1.7028   3  AA   (T)  #1144 PVDDCR_PVDDCRSOC_SCL_R T PIN TB_TP149.1
$93       3.3034    1.6286   3  AA   (T)  #1178 SMB_PMBUS_STBY_LVC3_SDA T PIN TB_TP298.1
$94       3.3060    1.5792   3  AA   (T)  #1179 SMB_PMBUS_STBY_LVC3_SCL T PIN TB_TP300.1
$95       3.2574    1.4969   3  AA   (T)  #1170 PVDDCR_PVDDCRSOC_VD18 T PIN TB_TP64.1
$96       3.2208    1.4658   3  AA   (T)  #1169 PVDDCR_PVDDCRSOC_VDD33 T PIN TB_TP63.1
$97       3.1690    1.4610   3  AA   (T)  #1168 PVDDCR_PVDDCRSOC_VINSEN T PIN TB_TP148.1
$98       4.0040    1.1550   3  AA   (T)  #820  PWRGD_PCH_PWROK  T PIN TB_TP315.1
$99       4.0360    1.1050   3  AA   (T)  #804  IRQ_SML1_ALERT_PLD_N T PIN TB_TP419.1
$100      4.1080    1.1140   1  AA   (T)  #786  FM_CPU_PROCHOT_LATCH_LVT3_N T PIN TB_TP170.1
$101      4.2100    1.1035   1  AA   (T)  #828  P1V8_AUXA_CPLD   T PIN TB_TP181.1
$102      4.3245    1.1036   1  AA   (T)  #830  P1V8_AUX_CPLD    T PIN TB_TP182.1
$103      4.4105    1.1019   3  AA   (T)  #794  FM_NAC_EN        T PIN TB_TP166.1
$104      4.4685    1.1171   3  AA   (T)  #808  FM_BOARD_REV_ID4 T PIN TB_TP171.1
$105      4.6640    1.1691   1  AA   (T)  #1245 CLK_25M_CPLD_R   T PIN TB_TP500.1
$106      4.6700    1.1170   3  AA   (T)  #800  CLK_25M_CPLD     T PIN TB_TP501.1
$107      4.6780    1.0510   2  AA   (T)  #710  UART_NCT5214D_R_RX T PIN TB_TP81.1
$108      4.6958    0.9725   2  AA   (T)  #797  LED_CONTROL_2    T PIN TB_TP396.1
$109      4.6942    0.9073   3  AA   (T)  #843  LED_CONTROL_7    T PIN TB_TP391.1
$110      4.7438    0.9027   3  AA   (T)  #819  EN_LPC_CLK_BUF_RSVD T PIN TB_TP1.1
$111      4.8537    0.9145   3  AA   (T)  #807  LED_CONTROL_0    T PIN TB_TP398.1
$112      4.8741    0.8698   3  AA   (T)  #829  LED_CONTROL_6    T PIN TB_TP392.1
$113      4.9070    0.9150   3  AA   (T)  #674  STRAP_2E_4E_SEL  T PIN TB_TP83.1
$114      5.0478    0.9150   1  AA   (T)  #677  PAD_CAP          T PIN TB_TP85.1
$115      5.1089    0.5289   1  AA   (T)  #750  OUTLET_TMP75_A2  T PIN TB_TP387.1
$116      5.0050    0.2250   3  AA   (T)  #948  TP_JTAG_CONN_5   T PIN TP59.1
$117      4.9650    0.2550   3  AA   (T)  #949  TP_JTAG_TRST_N   T PIN TP58.1
$118      5.0287    0.4563   1  AA   (T)  #1399 P3V3_STBY_CPLD_JTAG T PIN TB_TP86.1
$119      5.0000    0.5290   1  AA   (T)  #751  OUTLET_TMP75_A1  T PIN TB_TP388.1
$120      4.9471    0.5201   3  AA   (T)  #752  OUTLET_TMP75_A0  T PIN TB_TP389.1
$121      4.9037    0.5435   3  AA   (T)  #956  LED_POSTCODE_4   T PIN TB_TP390.1
$122      4.6852    0.7351   1  AA   (T)  #844  LED_CONTROL_5    T PIN TB_TP393.1
$123      3.9010    0.7559   1  AA   (T)  #853  STRAP_LPC_ESPI   T PIN TB_TP284.1
$124      3.8990    0.5860   1  AA   (T)  #896  PWRGD_PVDD_MISC_S5_R T PIN TB_TP99.1
$125      3.8979    0.4966   3  AA   (T)  #906  PWRGD_CPU_LVC3_R1 T PIN TB_TP320.1
$126      3.8971    0.4421   3  AA   (T)  #907  FM_FORCE_PWR_ON_N T PIN TB_TP482.1
$127      3.3642    0.3290   1  AA   (T)  #887  EN_LVS_CPLD_U106 T PIN TB_TP3.1
$128      3.5721    0.4653   1  AA   (T)  #951  FP_PWR_LED       T PIN TB_TP92.1
$129      3.5853    0.5349   1  AA   (T)  #1141 PVDD_MISC_VDD33  T PIN TB_TP65.1
$130      3.6720    0.5630   3  AA   (T)  #712  UART_PLD_TX      T PIN TB_TP269.1
$131      3.7210    0.5585   3  AA   (T)  #821  UART_PLD_R_TX    T PIN TB_TP271.1
$132      3.7703    0.5547   3  AA   (T)  #709  UART_PLD_RX      T PIN TB_TP270.1
$133      3.7929    0.5970   3  AA   (T)  #1244 PWRGD_CPU_LVC3   T PIN TB_TP321.1
